Date,Open,High,Low,Close,Adj Close,Volume
2023-11-08,2.544516,2.761246,2.539972,2.660246,2.660246,89216132
2023-11-09,2.659542,2.712137,2.403691,2.470357,2.470357,106289769
2023-11-10,2.470732,2.586685,2.417175,2.486506,2.486506,67985286
2023-11-11,2.486380,2.495449,2.371313,2.381493,2.381493,59526194
2023-11-12,2.382951,2.516882,2.339336,2.508369,2.508369,61517783
2023-11-13,2.507753,2.512736,2.350018,2.350018,2.350018,47509134
2023-11-14,2.349837,2.394777,2.250692,2.258695,2.258695,53278449
2023-11-15,2.259150,2.403002,2.245069,2.389909,2.389909,68454895
2023-11-16,2.389497,2.477395,2.259643,2.281039,2.281039,72770546
2023-11-17,2.280982,2.331814,2.233620,2.316275,2.316275,56193611
2023-11-18,2.316327,2.379727,2.239708,2.364274,2.364274,46783684
2023-11-19,2.364349,2.397036,2.335593,2.372366,2.372366,28334472
2023-11-20,2.372451,2.389535,2.324648,2.329720,2.329720,34598616
2023-11-21,2.329652,2.394639,2.293050,2.293209,2.293209,38251715
2023-11-22,2.293070,2.443541,2.293070,2.394476,2.394476,40438674
2023-11-23,2.394399,2.461818,2.354620,2.419705,2.419705,41369249
2023-11-24,2.419724,2.455981,2.378873,2.386958,2.386958,40316191
2023-11-25,2.386943,2.415092,2.340209,2.365083,2.365083,37108663
2023-11-26,2.365105,2.409738,2.321686,2.394718,2.394718,29843289
2023-11-27,2.394547,2.451638,2.331760,2.451088,2.451088,55947512
2023-11-28,2.450765,2.475655,2.415482,2.437864,2.437864,48875490
2023-11-29,2.437800,2.457136,2.401836,2.427498,2.427498,40770292
2023-11-30,2.427457,2.448864,2.387345,2.388499,2.388499,31516415
2023-12-01,2.388556,2.430389,2.381064,2.422211,2.422211,32651022
2023-12-02,2.422084,2.457583,2.395779,2.432158,2.432158,35298715
2023-12-03,2.432116,2.452841,2.399379,2.417555,2.417555,32593336
2023-12-04,2.417402,2.480934,2.359375,2.398363,2.398363,46404259
2023-12-05,2.398565,2.473719,2.343901,2.427010,2.427010,49869240
2023-12-06,2.427060,2.479937,2.278354,2.289719,2.289719,46216215
2023-12-07,2.290530,2.322202,2.238604,2.268187,2.268187,44677562
2023-12-08,2.267704,2.335344,2.256274,2.334601,2.334601,43271105
2023-12-09,2.334223,2.366303,2.306263,2.308958,2.308958,41429785
2023-12-10,2.309032,2.396248,2.303157,2.339114,2.339114,44476924
2023-12-11,2.339325,2.339325,2.019229,2.144753,2.144753,68093313
2023-12-12,2.144845,2.181548,2.084188,2.104764,2.104764,48315758
2023-12-13,2.104758,2.253737,2.030866,2.204793,2.204793,49880907
2023-12-14,2.204704,2.253085,2.152023,2.202051,2.202051,42309117
2023-12-15,2.201819,2.255338,2.116580,2.148497,2.148497,47226361
2023-12-16,2.148562,2.278263,2.114243,2.214169,2.214169,51963766
2023-12-17,2.214291,2.237159,2.138166,2.151121,2.151121,46596747
2023-12-18,2.150641,2.221676,2.066331,2.110242,2.110242,50200444
2023-12-19,2.109817,2.227028,2.109817,2.194118,2.194118,46211430
2023-12-20,2.194142,2.277277,2.151750,2.219472,2.219472,55006521
2023-12-21,2.219674,2.378792,2.217642,2.243136,2.243136,55567844
2023-12-22,2.243140,2.383744,2.211552,2.233081,2.233081,56169709
2023-12-23,2.233035,2.343078,2.171567,2.234482,2.234482,45980974
2023-12-24,2.234596,2.255007,2.139184,2.173199,2.173199,49474618
2023-12-25,2.173101,2.256275,2.166926,2.236844,2.236844,45864412
2023-12-26,2.237027,2.265551,2.094146,2.178457,2.178457,54895671
2023-12-27,2.178679,2.273984,2.113296,2.161222,2.161222,49813800
2023-12-28,2.161644,2.255438,2.128302,2.190297,2.190297,45822338
2023-12-29,2.190420,2.345891,2.186777,2.275357,2.275357,57623960
2023-12-30,2.275784,2.443242,2.212295,2.380314,2.380314,71941746
2023-12-31,2.380112,2.380112,2.281582,2.310035,2.310035,37259237
2024-01-01,2.310392,2.355157,2.294352,2.336763,2.336763,35373668
2024-01-02,2.336998,2.428623,2.280626,2.286614,2.286614,59804140
2024-01-03,2.286701,2.304519,2.071059,2.214845,2.214845,76342163
2024-01-04,2.214931,2.250236,2.131764,2.171888,2.171888,59282182
2024-01-05,2.171926,2.208538,2.075041,2.086629,2.086629,71558638
2024-01-06,2.086839,2.183149,2.054246,2.163592,2.163592,70473055
2024-01-07,2.163667,2.336927,2.158769,2.212093,2.212093,59955201
2024-01-08,2.212052,2.289486,2.138814,2.274425,2.274425,59205749
2024-01-09,2.274933,2.293269,2.169724,2.187538,2.187538,61551579
2024-01-10,2.187802,2.268830,2.171718,2.262284,2.262284,69041699
2024-01-11,2.265718,2.303939,2.205547,2.229652,2.229652,90444780
2024-01-12,2.229519,2.231878,2.101869,2.123216,2.123216,54088090
2024-01-13,2.123166,2.132643,2.095600,2.110640,2.110640,45165593
2024-01-14,2.110641,2.370892,2.081381,2.279437,2.279437,85393718
2024-01-15,2.279667,2.446389,2.279667,2.439739,2.439739,71928026
2024-01-16,2.438552,2.452406,2.381280,2.413412,2.413412,62247622
2024-01-17,2.413405,2.414861,2.262647,2.278804,2.278804,55451317
2024-01-18,2.278349,2.314365,2.182566,2.230224,2.230224,56521620
2024-01-19,2.230224,2.260061,2.159773,2.201974,2.201974,59137692
2024-01-20,2.201723,2.271045,2.165593,2.269434,2.269434,47739699
2024-01-21,2.269484,2.291553,2.214706,2.221927,2.221927,40585423
